SITE,CONST,YR,DOY,MP1,MP2,MP5,CRMP1,CRMP2,CRMP5,CRGF,CRMW,CRIOD
AKBA,G,23,1,0.3201,0.5273,0.3761,205.691,50.1578,141.523,286.405,130.034,226.26
AKBA,G,23,2,0.3179,0.5263,0.3783,209.074,51.5606,155.762,253.708,127.571,215.048
AKBA,G,23,3,0.3206,0.5253,0.3753,170.226,47.5663,147.059,224.158,122.378,181.12
AKBA,G,23,4,0.3227,0.5262,0.3694,188.508,50.3862,151.902,272.542,108.234,211.411
AKBA,G,23,5,0.3255,0.5215,0.3802,174.038,46.657,128.866,260.057,105.233,193.376
AKBA,G,23,6,0.3237,0.5264,0.381,136.367,48.1706,109.658,184.041,115.495,150.913
AKBA,G,23,7,0.3186,0.5203,0.3755,166.618,50.5906,120.087,243.656,122.486,184.228
AKBA,G,23,8,0.3161,0.5211,0.3659,190.42,49.936,130.073,254.607,113.3,207.89
AKBA,G,23,9,0.3188,0.5317,0.3766,185.656,52.4292,154.395,238.421,111.029,204.054
AKBA,G,23,10,0.3166,0.5252,0.3759,200.407,49.8631,145.384,254.449,122.411,202.196
AKBA,G,23,11,0.3193,0.5305,0.3705,202.532,51.4817,147.141,264.482,112.97,224.81
AKBA,G,23,12,0.3177,0.5319,0.3737,182.444,51.2886,150.518,221.794,102.367,185.434
AKBA,G,23,13,0.3195,0.5318,0.3722,154.664,53.6429,157.253,201.616,104.542,162.453
AKBA,G,23,14,0.3211,0.5169,0.3786,135.299,52.5315,106.726,196.478,108.63,145.774
AKBA,G,23,15,0.3247,0.5275,0.3704,138.712,48.0064,106.162,190,125.611,147.778
AKBA,G,23,16,0.3207,0.5316,0.3706,164.254,49.3777,129.594,192.093,106.418,159.627
AKBA,G,23,17,0.3211,0.5295,0.3643,172.786,50.3296,122.812,213.538,105.771,168.918
AKBA,G,23,18,0.321,0.5356,0.3683,168.746,49.2948,130.674,238.021,111.941,186.876
AKBA,G,23,19,0.3206,0.5275,0.3629,175.209,48.2179,136.703,265.906,120.866,207.358
AKBA,G,23,20,0.3272,0.5358,0.3814,159.517,45.8249,112.491,201.867,122.64,170.231
AKBA,G,23,21,0.3311,0.5396,0.3837,137.742,41.9731,131.12,192.114,98.2108,153.154
AKBA,G,23,22,0.3285,0.5436,0.3802,174.328,43.8385,179.314,223.892,113.054,184.169
AKBA,G,23,23,0.3269,0.5427,0.393,194.504,41.3843,142.551,258.602,119.147,208.78
AKBA,G,23,24,0.3236,0.5461,0.3991,174.756,38.2453,126.68,224.182,108.794,181.918
AKBA,G,23,25,0.3263,0.5415,0.3969,121.779,37.1672,86.6781,164.493,97.1013,136.907
AKBA,G,23,26,0.3236,0.5392,0.4029,149.496,43.6526,92.374,233.483,101.366,164.921
AKBA,G,23,27,0.3243,0.544,0.4108,104.321,37.8986,89.844,143.61,88.1116,111.697
AKBA,G,23,28,0.3308,0.5476,0.4104,160.884,36.8652,107.483,249.461,100.009,181.984
AKBA,G,23,29,0.3281,0.548,0.409,206.423,42.2485,119.47,255.571,106.277,206.423
AKBA,G,23,30,0.3296,0.5436,0.4087,160.649,39.6292,116.32,259.361,108.722,182.432
